"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"V Kohli","Captain","Royal Challengers Bangalore","Mumbai Indians","0","3","Mumbai Indians"
"KD Karthik","Keeper","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"AB de Villiers","Player","Royal Challengers Bangalore","Mumbai Indians","1","0","Mumbai Indians"
"CH Gayle","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"Mandeep Singh","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"S Aravind","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"HV Patel","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"MA Starc","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"YS Chahal","Player","Royal Challengers Bangalore","Mumbai Indians","0","0","Mumbai Indians"
"PA Patel","Keeper","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"Harbhajan Singh","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"RG Sharma","Captain","Mumbai Indians","Royal Challengers Bangalore","0","4","Mumbai Indians"
"SL Malinga","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"AT Rayudu","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"KA Pollard","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"JJ Bumrah","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"LMP Simmons","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"HH Pandya","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"MJ McClenaghan","Player","Mumbai Indians","Royal Challengers Bangalore","0","1","Mumbai Indians"
"BB McCullum","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"MS Dhoni","CaptainKeeper","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"SK Raina","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"RA Jadeja","Player","Chennai Super Kings","Rajasthan Royals","1","1","Chennai Super Kings"
"DJ Bravo","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"A Nehra","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"DR Smith","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"R Ashwin","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"F du Plessis","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"P Negi","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"MM Sharma","Player","Chennai Super Kings","Rajasthan Royals","0","1","Chennai Super Kings"
"SR Watson","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"AM Rahane","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"R Bhatia","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"SPD Smith","Captain","Rajasthan Royals","Chennai Super Kings","0","3","Chennai Super Kings"
"JP Faulkner","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"Ankit Sharma","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"KK Nair","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"CH Morris","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"SV Samson","Keeper","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"PV Tambe","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"DJ Hooda","Player","Rajasthan Royals","Chennai Super Kings","0","0","Chennai Super Kings"
"S Dhawan","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"I Sharma","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
