Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
BB McCullum,Keeper,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
JH Kallis,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
YK Pathan,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
G Gambhir,Captain,Kolkata Knight Riders,Pune Warriors,FALSE,4,Kolkata Knight Riders,
LR Shukla,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
MK Tiwary,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
R Bhatia,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
DB Das,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
Iqbal Abdulla,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
SP Narine,Player,Kolkata Knight Riders,Pune Warriors,TRUE,1,Kolkata Knight Riders,
M de Lange,Player,Kolkata Knight Riders,Pune Warriors,FALSE,1,Kolkata Knight Riders,
SC Ganguly,Captain,Pune Warriors,Kolkata Knight Riders,FALSE,3,Kolkata Knight Riders,
RV Uthappa,Keeper,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
M Kartik,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
MK Pandey,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
AB Dinda,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
M Manhas,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
AD Mathews,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
WD Parnell,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
B Kumar,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
SPD Smith,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
MJ Clarke,Player,Pune Warriors,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
R Dravid,Captain,Rajasthan Royals,Kings XI Punjab,FALSE,3,Kings XI Punjab,
SR Watson,Player,Rajasthan Royals,Kings XI Punjab,TRUE,0,Kings XI Punjab,
SK Trivedi,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
AM Rahane,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
BJ Hodge,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
J Botha,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
SW Tait,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
STR Binny,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
AL Menaria,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
DH Yagnik,Keeper,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
AA Chavan,Player,Rajasthan Royals,Kings XI Punjab,FALSE,0,Kings XI Punjab,
DJ Hussey,Captain,Kings XI Punjab,Rajasthan Royals,FALSE,4,Kings XI Punjab,
P Kumar,Player,Kings XI Punjab,Rajasthan Royals,FALSE,1,Kings XI Punjab,
AM Nayar,Player,Kings XI Punjab,Rajasthan Royals,FALSE,1,Kings XI Punjab,
PP Chawla,Player,Kings XI Punjab,Rajasthan Royals,FALSE,1,Kings XI Punjab,
SE Marsh,Player,Kings XI Punjab,Rajasthan Royals,FALSE,1,Kings XI Punjab,
RJ Harris,Player,Kings XI Punjab,Rajasthan Royals,FALSE,1,Kings XI Punjab,
